H1,H3,ER1,ER3,TD1,TD3,H2,W,S,EDW,SIGMA,H,FNAME,Z0SE(1_SE),S0SE(1_SE),KBSENB(1_1),KFSENB(1_1),A(1_1)
3.9967,11.161,3.4841,4.0105,0.036267,0.028762,2.494,8.9511,17.537,0.047347,5.00E+07,15,SPIMDL00026.TAB,31.990101205296593,1.5577313007232073E8,0.007191193241641525,6.2340536377068656E-12,0.5868869875410291
4.7768,7.8909,3.8088,3.9173,0.020822,0.025162,0.41305,6.9729,15.243,0.68936,5.00E+07,15,SPIMDL00027.TAB,43.26503394318491,1.5265098013642842E8,0.003838479050162091,3.1308691244624635E-13,0.48030342928408315
1.6889,9.9329,4.6669,3.1749,0.0489,0.020882,0.46567,3.7188,21.86,0.1309,5.00E+07,15,SPIMDL00028.TAB,35.51357955862504,1.4720703606156284E8,1.892808965569494E-4,-7.633250285083761E-13,0.5834887556740622
4.6833,8.1081,4.537,3.3772,0.0047601,0.033598,0.86555,3.7416,13.133,0.069759,5.00E+07,15,SPIMDL00029.TAB,52.77334855504739,1.5050041436687464E8,0.009629528401191422,-1.1297210948468659E-11,0.5286673025158174
6.5812,7.2532,3.5017,3.8783,0.037187,0.039003,1.6903,8.1491,10.507,0.23044,5.00E+07,15,SPIMDL00030.TAB,38.837729850611915,1.5579452435080567E8,0.023830931554085458,4.171408540149072E-12,0.7267525158780177
2.0496,3.437,3.4057,4.1015,0.012102,0.0067227,1.2806,4.3278,12.678,0.49816,5.00E+07,15,SPIMDL00031.TAB,32.85468185717878,1.5518360892020828E8,4.8700820513608947E-4,6.482906576123679E-13,0.16395925797798153
2.2752,8.957,3.7799,4.2553,0.038145,0.047172,0.45452,5.8753,18.567,0.15667,5.00E+07,15,SPIMDL00032.TAB,31.810572642118174,1.5098887701186532E8,6.559629875813036E-4,7.44940417705348E-13,1.0204845662937518
5.5141,5.3246,4.3532,3.5668,0.028767,0.01189,0.76117,3.7786,9.2383,0.72992,5.00E+07,15,SPIMDL00033.TAB,55.23946757255137,1.5117261188725698E8,0.017200364444541698,-2.6298377245748965E-12,0.3292521336538809
3.5885,7.5877,4.3473,3.5537,0.031201,0.038592,1.5103,7.953,7.2367,0.031097,5.00E+07,15,SPIMDL00034.TAB,30.291402251751485,1.4994480931151074E8,0.0250513599526979,-2.1115632552046414E-11,0.7219565064853913
3.4409,11.677,4.5858,3.1198,0.026288,0.027772,1.0745,7.0417,23.812,0.36606,5.00E+07,15,SPIMDL00035.TAB,36.00412457100356,1.4956945192748645E8,9.079719642583713E-4,-3.071077419167627E-12,0.5510906690110077
4.7251,7.8745,4.0231,3.5037,0.039541,0.015724,1.4838,8.9145,30.138,0.47587,5.00E+07,15,SPIMDL00036.TAB,35.09000926148986,1.5415039930378532E8,1.740868343625251E-4,-1.73501566292223E-13,0.42781954679315054
5.6185,5.2832,4.3427,3.9045,0.0057786,0.03957,1.6197,6.5552,18.584,0.30615,5.00E+07,15,SPIMDL00037.TAB,36.72627180582632,1.4811759496342763E8,0.0018490620190359385,-4.596960887360629E-13,0.6265504312263173
3.0494,10.542,3.6017,3.2557,0.043142,0.0017224,0.85161,3.1373,24.562,0.045609,5.00E+07,15,SPIMDL00038.TAB,54.921169131003175,1.6135653391529498E8,6.291229112648182E-4,-5.299816960362894E-13,0.23357228204654992
6.3115,4.3754,4.3288,3.0391,0.048047,0.013,1.6834,4.3697,32.27,0.46786,5.00E+07,15,SPIMDL00039.TAB,43.115042772353,1.5922127631309474E8,6.246451767341415E-5,1.8118535923180325E-14,0.596799043023428
4.5135,11.529,3.2794,4.3084,0.039677,0.027497,1.6425,2.2389,23.549,0.16461,5.00E+07,15,SPIMDL00040.TAB,61.03318641117179,1.540228622827777E8,0.003621879624121061,6.521305721923892E-12,0.6231532518831946
3.0216,5.2191,4.5682,3.2669,0.031192,0.036917,1.8601,6.4529,13.622,0.4675,5.00E+07,15,SPIMDL00041.TAB,29.693064262084484,1.508612848811899E8,0.002046252674000158,-4.501571125982299E-12,0.6952431899850987
2.3839,3.2833,4.3696,4.4063,0.048213,0.012169,1.4589,5.4329,3.9468,0.29748,5.00E+07,15,SPIMDL00042.TAB,26.265715000560675,1.4311575070636603E8,0.028887067599045017,3.2137801917397485E-13,0.5028182862473618
1.7618,10.375,3.2404,3.1411,0.024861,0.033843,2.3347,7.231,27.834,0.59562,5.00E+07,15,SPIMDL00043.TAB,25.271932842141915,1.673800959744006E8,1.8391627185078386E-4,-1.0450344629309948E-13,0.5624479388415554
4.3349,9.5933,3.468,4.5292,0.034325,0.023986,2.3158,6.5408,26.34,0.65835,5.00E+07,15,SPIMDL00044.TAB,40.156320527424505,1.5085047386566228E8,0.0012640194229646285,2.562791424319736E-12,0.7615409489420535
2.9184,2.3733,4.1252,3.302,0.01,0.021735,0.78692,3.147,6.0297,0.58212,5.00E+07,15,SPIMDL00045.TAB,42.062160858873256,1.5671351046358886E8,0.00786922795462358,-1.1422157863820898E-12,0.5812040752882525
2.6385,7.5542,4.6119,3.505,0.019138,0.047536,2.0836,6.1734,4.7038,0.52251,5.00E+07,15,SPIMDL00046.TAB,29.219536592153503,1.4724474874967185E8,0.04365438387919549,-5.347749102664286E-11,0.8030707104269296
5.6057,4.0586,4.6151,3.838,0.042658,0.0051292,1.0038,3.416,26.125,0.31706,5.00E+07,15,SPIMDL00047.TAB,49.70068654367968,1.470499733973637E8,1.0369178815400822E-4,2.4498193427391554E-14,0.30581016500656466
2.4096,8.972,3.7074,3.2102,0.037015,0.014281,2.1666,2.8585,21.207,0.47845,5.00E+07,15,SPIMDL00048.TAB,45.99018693225916,1.6076352152616268E8,0.001068257086019798,-1.2266396817491067E-12,0.4020134873018069
6.4613,11.997,3.3121,3.0468,0.02237,0.024772,0.94626,6.6064,16.482,0.062524,5.00E+07,15,SPIMDL00049.TAB,54.8182474335217,1.6787967789077303E8,0.012843977796087973,-3.698992756817946E-12,0.43590567761862387
1.7606,2.4283,3.1432,4.4205,0.0043396,0.047938,0.4506,5.2488,27.713,0.28711,5.00E+07,15,SPIMDL00050.TAB,24.889669836595555,1.5511821777383646E8,2.472491829771092E-8,-3.450046194158246E-16,0.7319966315991241
3.6929,12.867,3.0037,3.5063,0.0034006,0.046757,2.1566,5.6945,3.4599,0.32957,5.00E+07,15,SPIMDL00051.TAB,42.88585820814289,1.6719363207486153E8,0.11263587914463583,2.1013752713140864E-11,0.6401618283155731
6.8329,2.4885,3.9146,3.2682,0.012566,0.0052577,0.52691,2.5334,8.9061,0.30779,5.00E+07,15,SPIMDL00052.TAB,58.018083602792125,1.6031033890596873E8,0.009784166958235667,6.444706634563553E-12,0.14176876283171866
1.797,12.174,4.4524,4.2224,0.038499,0.046725,1.4387,3.3478,9.8707,0.20958,5.00E+07,15,SPIMDL00053.TAB,33.60969490731124,1.4351749669402704E8,0.012232049276995886,-4.434378247770354E-12,1.04501377923014
2.6195,9.9611,3.6635,3.8352,0.049249,0.045824,0.3155,7.2036,22.27,0.17565,5.00E+07,15,SPIMDL00054.TAB,31.837559204481664,1.554219571644716E8,3.7877127027354554E-4,1.991850334165656E-13,0.8814318709889046
5.0215,12.891,4.5299,4.1135,0.021053,0.033331,0.89,5.6497,2.4897,0.54932,5.00E+07,15,SPIMDL00055.TAB,47.01875627315244,1.4370875935483992E8,0.12828877417822013,-6.594978433521852E-11,0.6280796401732749
1.7694,2.0813,3.8587,4.6464,0.0052956,0.017149,0.94124,8.3118,24.4,0.65871,5.00E+07,15,SPIMDL00056.TAB,16.303958414642075,1.4555059596216637E8,1.44078227811943E-7,7.231542405205351E-16,0.34870031877341684
1.9624,10.545,4.6169,3.203,0.037806,0.040646,1.1489,4.0991,12.205,0.57502,5.00E+07,15,SPIMDL00057.TAB,34.71055799398035,1.4824028359759998E8,0.004537351378965668,-1.3099059892944517E-11,0.7900635664898563
3.2905,4.2196,4.6913,3.9477,0.0064228,0.022352,0.4125,6.2933,17.825,0.027577,5.00E+07,15,SPIMDL00058.TAB,31.807601676748934,1.4406786327802357E8,1.1500362495385857E-4,-9.140917258596082E-14,0.3941917488338597
1.5505,12.615,3.0442,4.5132,0.042043,0.0070625,1.6646,2.7507,20.546,0.41032,5.00E+07,15,SPIMDL00059.TAB,39.84897718900043,1.5804467581811282E8,0.0016266345943224446,5.001473584335185E-12,0.3325498159283057
2.7873,11.507,4.3672,4.4502,0.047807,0.030163,2.3367,3.9075,20.972,0.43488,5.00E+07,15,SPIMDL00060.TAB,37.520952990281465,1.4286707394469503E8,0.002731972633417675,4.625323823635285E-13,0.7200338434495145
2.0789,6.5308,3.0744,3.6392,0.029681,0.032084,1.9973,5.1822,11.527,0.18866,5.00E+07,15,SPIMDL00061.TAB,31.34409930690246,1.6485734051655713E8,0.0053351593444137535,5.736401987695366E-12,0.5861648786642223
4.7536,5.227,4.0668,4.2078,0.045632,0.035646,1.442,7.3512,13.52,0.30001,5.00E+07,15,SPIMDL00062.TAB,32.40552307239904,1.473104211339139E8,0.004319931175017704,4.4372194116952845E-13,0.7612487754575911
5.8275,12.007,3.541,4.4617,0.046165,0.033284,1.6605,2.5698,8.0769,0.60448,5.00E+07,15,SPIMDL00063.TAB,63.605589034205465,1.498715590399858E8,0.06679160858894487,3.118521759099841E-11,0.7222933816356728
6.2568,12.646,4.0021,3.8049,0.049772,0.019109,0.61841,4.1119,32.893,0.22904,5.00E+07,15,SPIMDL00064.TAB,62.0878303824768,1.5159215619878176E8,9.285448132700547E-4,-2.9587437354614544E-13,0.5329415307215856
5.4966,12.642,3.9929,3.9875,0.016689,0.017179,1.4121,7.0833,5.4591,0.3647,5.00E+07,15,SPIMDL00065.TAB,44.935479749137045,1.50074949318278E8,0.07815795888535629,-8.729352053479927E-12,0.34919570688415125
4.6442,12.304,3.5369,3.7302,0.011768,0.0076888,0.73956,5.3849,21.509,0.58354,5.00E+07,15,SPIMDL00066.TAB,53.9826194662647,1.5761769746717215E8,0.0032566087669659623,1.0482971112955324E-12,0.17429113481250558
2.0568,11.607,3.2621,3.9188,0.0095233,0.0005206,1.8572,7.8463,25.014,0.33836,5.00E+07,15,SPIMDL00067.TAB,27.49895924638845,1.6088543305652976E8,5.738971390973292E-4,8.927888439704961E-13,0.05514765449685886
1.8196,12.233,4.1119,3.9019,0.047073,0.018406,0.64134,2.2753,13.093,0.62071,5.00E+07,15,SPIMDL00068.TAB,49.13362931263076,1.4929651682392073E8,0.003930950476478337,-1.665833793141922E-12,0.5200339980493441
